Revista;Publisher;DOI;Proprietary Identifier;Print ISSN;Online ISSN;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Agriculture, Ecosystems & Environment;Elsevier; ;AGEE;0167-8809;;0;35;15;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Agro-Ecosystems;Elsevier; ;AGEE;0304-3746;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Ain Shams Engineering Journal;Elsevier; ;ASEJ;2090-4479;;1;5;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
AKCE International Journal of Graphs and Combinatorics;Elsevier; ;AKCEJ;0972-8600;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Alcohol;Elsevier; ;ALC;0741-8329;1873-6823;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Alexandria Engineering Journal;Elsevier; ;AEJ;1110-0168;;6;14;19;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Alexandria Journal of Medicine;Elsevier; ;AJME;2090-5068;;0;4;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Algal Research;Elsevier; ;ALGAL;2211-9264;;13;16;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Allergologia et Immunopathologia;Elsevier; ;ALLER;0301-0546;1578-1267;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Allergology International;Elsevier; ;ALIT;1323-8930;1440-1592;3;0;10;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Alter;Elsevier; ;ALTER;1875-0672;1875-0680;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Alzheimer's & Dementia;Elsevier; ;JALZ;1552-5260;1552-5279;0;2;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring;Elsevier; ;DADM;2352-8729;2352-8729;1;0;10;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
American Heart Journal;Elsevier; ;YMHJ;0002-8703;1097-6744;0;3;17;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
American Journal of Infection Control;Elsevier; ;YMIC;0196-6553;1527-3296;0;4;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
American Journal of Kidney Diseases;Elsevier; ;YAJKD;0272-6386;1523-6838;0;5;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
American Journal of Obstetrics and Gynecology;Elsevier; ;YMOB;0002-9378;1097-6868;7;51;16;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
American Journal of Ophthalmology Case Reports;Elsevier; ;AJOC;2451-9936;2451-9936;0;2;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
American Journal of Orthodontics;Elsevier; ;YMOD;0002-9416;;6;73;83;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
American Journal of Orthodontics and Dentofacial Orthopedics;Elsevier; ;YMOD;0889-5406;;24;216;166;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
American Journal of Orthodontics and Oral Surgery;Elsevier; ;YMOD;0096-6347;;3;5;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
American Journal of Otolaryngology;Elsevier; ;YAJOT;0196-0709;1532-818X;0;1;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
American Journal of Preventive Medicine;Elsevier; ;AMEPRE;0749-3797;1873-2607;0;1;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Anaerobe;Elsevier; ;YANAE;1075-9964;1095-8274;5;1;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Anaesthesia & Intensive Care Medicine;Elsevier; ;MPAIC;1472-0299;1878-7584;0;8;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Anaesthesia Critical Care & Pain Medicine;Elsevier; ;ACCPM;2352-5568;2352-5568;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Anales de Antropología;Elsevier; ;ANTRO;0185-1225;;2;4;19;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Anales de Pediatría;Elsevier; ;ANPEDI;1695-4033;1695-9531;11;41;113;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Anales de Pediatría (English Edition);Elsevier; ;ANPEDE;2341-2879;;4;6;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Analytica Chimica Acta;Elsevier; ;ACA;0003-2670;1873-4324;6;30;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Analytical Biochemistry;Elsevier; ;YABIO;0003-2697;1096-0309;1;23;50;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Animal Behaviour;Elsevier; ;YANBE;0003-3472;;0;12;9;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Animal Feed Science and Technology;Elsevier; ;ANIFEE;0377-8401;;2;8;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Animal Nutrition;Elsevier; ;ANINU;2405-6545;2405-6383;2;21;61;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Animal Reproduction Science;Elsevier; ;ANIREP;0378-4320;;0;8;19;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annales de Chirurgie de la Main et du Membre Supérieur;Elsevier; ;HANSUR;1153-2424;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annales de Chirurgie Plastique Esthétique;Elsevier; ;ANNPLA;0294-1260;1768-319X;1;0;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annales de l'Institut Henri Poincaré C, Analyse non linéaire;Elsevier; ;ANIHPC;0294-1449;;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Agrarian Science;Elsevier; ;AASCI;1512-1887;;0;13;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Agricultural Sciences;Elsevier; ;AOAS;0570-1783;;2;19;21;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Allergy, Asthma & Immunology;Elsevier; ;ANAI;1081-1206;1534-4436;0;1;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Anatomy - Anatomischer Anzeiger;Elsevier; ;AANAT;0940-9602;1618-0402;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Diagnostic Pathology;Elsevier; ;YADPA;1092-9134;1532-8198;0;13;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Emergency Medicine;Elsevier; ;YMEM;0196-0644;1097-6760;0;5;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Epidemiology;Elsevier; ;AEP;1047-2797;1873-2585;0;18;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Global Health;Elsevier; ;AOGH;2214-9996;2214-9996;7;14;21;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Medicine and Surgery;Elsevier; ;AMSU;2049-0801;2049-0801;0;3;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Nuclear Energy;Elsevier; ;ANE;0306-4549;1873-2100;0;4;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Physical and Rehabilitation Medicine;Elsevier; ;REHAB;1877-0657;1877-0665;0;4;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Physics;Elsevier; ;YAPHY;0003-4916;1096-035X;0;2;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of the ICRP;Elsevier; ;JAICRP;0146-6453;1872-969X;0;2;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annals of Tourism Research;Elsevier; ;ATR;0160-7383;;1;19;12;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Annual Review in Automatic Programming;Elsevier; ;JARAP;0066-4138;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
