Revista;Publisher;DOI;Proprietary Identifier;Print ISSN;Online ISSN;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Practical Laboratory Medicine;Elsevier; ;PLABM;2352-5517;2352-5517;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Precambrian Research;Elsevier; ;PRECAM;0301-9268;;0;1;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Precision Engineering;Elsevier; ;PRE;0141-6359;;0;0;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Pregnancy Hypertension;Elsevier; ;PREGHY;2210-7789;2210-7797;3;3;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Preventive Medicine;Elsevier; ;YPMED;0091-7435;1096-0260;0;2;17;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Preventive Medicine Reports;Elsevier; ;PMEDR;2211-3355;2211-3355;0;8;12;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Preventive Veterinary Medicine;Elsevier; ;PREVET;0167-5877;;1;4;16;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Primary Care Diabetes;Elsevier; ;PCD;1751-9918;1878-0210;0;2;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Primary Care Update for OB/GYNS;Elsevier; ;;1068-607X;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Probabilistic Engineering Mechanics;Elsevier; ;PREM;0266-8920;1878-4275;0;2;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Problemas del Desarrollo;Elsevier; ;RPD;0301-7036;;10;59;92;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia - Social and Behavioral Sciences;Elsevier; ;SBSPRO;1877-0428;1877-0428;70;358;561;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia Chemistry;Elsevier; ;PROCHE;1876-6196;1876-6196;2;4;17;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia CIRP;Elsevier; ;PROCIR;2212-8271;2212-8271;16;34;65;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia Computer Science;Elsevier; ;PROCS;1877-0509;1877-0509;50;183;219;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia Earth and Planetary Science;Elsevier; ;PROEPS;1878-5220;1878-5220;3;12;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia Economics and Finance;Elsevier; ;FINE;2212-5671;2212-5671;18;44;96;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia Engineering;Elsevier; ;PROENG;1877-7058;1877-7058;30;182;190;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia Environmental Sciences;Elsevier; ;PROENV;1878-0296;1878-0296;8;31;33;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia Food Science;Elsevier; ;PROFOO;2211-601X;2211-601X;0;14;14;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia in Vaccinology;Elsevier; ;PROVAC;1877-282X;1877-282X;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia IUTAM;Elsevier; ;PIUTAM;2210-9838;2210-9838;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia Manufacturing;Elsevier; ;PROMFG;2351-9789;2351-9789;5;55;68;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia Materials Science;Elsevier; ;MSPRO;2211-8128;2211-8128;0;9;10;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia Structural Integrity;Elsevier; ;PROSTR;2452-3216;2452-3216;0;3;24;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Procedia Technology;Elsevier; ;PROTCY;2212-0173;2212-0173;4;18;36;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Process Biochemistry;Elsevier; ;PRBI;1359-5113;;2;24;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Process Safety and Environmental Protection;Elsevier; ;PSEP;0957-5820;1744-3598;4;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Aerospace Sciences;Elsevier; ;JPAS;0376-0421;;0;0;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Biophysics and Molecular Biology;Elsevier; ;JPBM;0079-6107;;0;11;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Cardiovascular Diseases;Elsevier; ;YPCAD;0033-0620;1873-1740;0;2;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Crystal Growth and Characterization of Materials;Elsevier; ;JPCGCM;0960-8974;;2;0;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Energy and Combustion Science;Elsevier; ;JPECS;0360-1285;;0;0;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Growth Factor Research;Elsevier; ;CGFR;0955-2235;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Histochemistry and Cytochemistry;Elsevier; ;;0079-6336;1873-2186;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Lipid Research;Elsevier; ;JPLR;0163-7827;1873-2194;0;0;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Materials Science;Elsevier; ;JPMS;0079-6425;;4;8;9;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Natural Science: Materials International;Elsevier; ;PNSC;1002-0071;;2;8;13;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Neuro-Psychopharmacology;Elsevier; ;PNP;0364-7722;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Neuro-Psychopharmacology and Biological Psychiatry;Elsevier; ;PNP;0278-5846;1878-4216;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Neurobiology;Elsevier; ;PRONEU;0301-0082;1873-5118;1;3;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Nuclear Energy;Elsevier; ;JPNE;0149-1970;;0;0;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Nuclear Magnetic Resonance Spectroscopy;Elsevier; ;JPNMRS;0079-6565;;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Oceanography;Elsevier; ;PROOCE;0079-6611;;1;15;34;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Organic Coatings;Elsevier; ;POC;0300-9440;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Particle and Nuclear Physics;Elsevier; ;JPPNP;0146-6410;;1;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Polymer Science;Elsevier; ;JPPS;0079-6700;;3;6;15;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in Retinal and Eye Research;Elsevier; ;JPRR;1350-9462;1873-1635;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Progress in the Chemistry of Fats and other Lipids;Elsevier; ;JPLR;0079-6832;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Prostaglandins;Elsevier; ;PRO;0090-6980;;1;0;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Prostaglandins & Other Lipid Mediators;Elsevier; ;PRO;1098-8823;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Prostate International;Elsevier; ;PRNIL;2287-8882;2287-903X;0;3;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Protein Expression and Purification;Elsevier; ;YPREP;1046-5928;;0;4;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Psicología Educativa;Elsevier; ;PSE;1135-755X;2174-0526;10;34;30;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Psiquiatría Biológica;Elsevier; ;PSIQ;1134-5934;1578-8962;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Psychiatric Clinics of North America;Elsevier; ;PSC;0193-953X;1558-3147;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Psychiatry Research;Elsevier; ;PSY;0165-1781;1872-7123;0;3;19;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Psychiatry Research: Neuroimaging;Elsevier; ;PSYN;0925-4927;1872-7506;0;4;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Psychologie Française;Elsevier; ;PSFR;0033-2984;;1;0;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Psychoneuroendocrinology;Elsevier; ;PNEC;0306-4530;1873-3360;1;15;9;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Psychosocial Intervention;Elsevier; ;PSI;1132-0559;2173-4712;2;17;55;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Public Health;Elsevier; ;PUHE;0033-3506;1476-5616;0;3;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Public Relations Review;Elsevier; ;PUBREL;0363-8111;;8;21;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Pulmonology;Elsevier; ;PULMOE;2531-0437;;0;1;13;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Quaternary Geochronology;Elsevier; ;QUAGEO;1871-1014;;0;0;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Quaternary International;Elsevier; ;JQI;1040-6182;;0;1;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Quaternary Research;Elsevier; ;YQRES;0033-5894;1096-0287;0;1;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Quaternary Science Reviews;Elsevier; ;JQSR;0277-3791;;15;10;20;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Radiation Measurements;Elsevier; ;RM;1350-4487;;1;7;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Radiología;Elsevier; ;RX;0033-8338;1578-1771;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Radiology Case Reports;Elsevier; ;RADCR;1930-0433;;0;0;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Radiology of Infectious Diseases;Elsevier; ;JRID;2352-6211;;0;1;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Radiotherapy and Oncology;Elsevier; ;RADION;0167-8140;1879-0887;1;2;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
RAI Revista de Administração e Inovação;Elsevier; ;RAI;1809-2039;1809-2039;1;0;10;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Rangeland Ecology & Management;Elsevier; ;RAMA;1550-7424;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
RAUSP Management Journal;Elsevier; ;RAUSPM;2531-0488;2531-0488;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Reactive Polymers;Elsevier; ;REACT;0923-1137;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Reactive Polymers, Ion Exchangers, Sorbents;Elsevier; ;REACT;0167-6989;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Real-Time Imaging;Elsevier; ;;1077-2014;1096-116X;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Redox Biology;Elsevier; ;REDOX;2213-2317;2213-2317;2;2;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
REGE - Revista de Gestão;Elsevier; ;REGE;1809-2276;;0;9;17;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Regional Science and Urban Economics;Elsevier; ;REGEC;0166-0462;1879-2308;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Regional Studies in Marine Science;Elsevier; ;RSMA;2352-4855;;0;4;18;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Regulatory Toxicology and Pharmacology;Elsevier; ;YRTPH;0273-2300;1096-0295;2;4;9;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Rehabilitación;Elsevier; ;RH;0048-7120;1578-3278;0;0;16;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Reliability Engineering & System Safety;Elsevier; ;RESS;0951-8320;;0;2;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Remote Sensing Applications: Society and Environment;Elsevier; ;RSASE;2352-9385;2352-9385;0;6;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Remote Sensing of Environment;Elsevier; ;RSE;0034-4257;;5;30;19;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Renewable and Sustainable Energy Reviews;Elsevier; ;RSER;1364-0321;1879-0690;3;23;24;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Renewable Energy;Elsevier; ;RENE;0960-1481;1879-0682;8;18;17;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Repertorio de Medicina y Cirugía;Elsevier; ;REPER;0121-7372;;2;21;32;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Reports of Practical Oncology & Radiotherapy;Elsevier; ;RPOR;1507-1367;;0;5;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Reproductive Biology;Elsevier; ;REPBIO;1642-431X;;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Reproductive Toxicology;Elsevier; ;RTX;0890-6238;1873-1708;0;2;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Research in Autism Spectrum Disorders;Elsevier; ;RASD;1750-9467;1878-0237;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Research in Developmental Disabilities;Elsevier; ;RIDD;0891-4222;1873-3379;0;1;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Research in Economics;Elsevier; ;YREEC;1090-9443;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Research in International Business and Finance;Elsevier; ;RIBAF;0275-5319;;5;3;27;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Research in Microbiology;Elsevier; ;RESMIC;0923-2508;1769-7123;3;2;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Research in Organizational Behavior;Elsevier; ;RIOB;0191-3085;;2;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Research in Social and Administrative Pharmacy;Elsevier; ;RSAP;1551-7411;;0;1;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Research in Transportation Business & Management;Elsevier; ;RTBM;2210-5395;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Research in Veterinary Science;Elsevier; ;YRVSC;0034-5288;1532-2661;0;6;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Research Policy;Elsevier; ;RESPOL;0048-7333;;35;70;150;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Resource and Energy Economics;Elsevier; ;RESEN;0928-7655;;0;0;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Resource-Efficient Technologies;Elsevier; ;REFFIT;2405-6537;;0;0;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Resources Policy;Elsevier; ;JRPO;0301-4207;;5;21;16;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Resources, Conservation and Recycling;Elsevier; ;RECYCL;0921-3449;1879-0658;19;25;25;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Respiration Physiology;Elsevier; ;RESPNB;0034-5687;;0;1;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Respiratory Investigation;Elsevier; ;RESINV;2212-5345;2212-5353;0;8;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Respiratory Medicine;Elsevier; ;YRMED;0954-6111;1532-3064;2;8;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Respiratory Medicine Case Reports;Elsevier; ;RMCR;2213-0071;2213-0071;0;1;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Respiratory Physiology & Neurobiology;Elsevier; ;RESPNB;1569-9048;1878-1519;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Results in Immunology;Elsevier; ;;2211-2839;2211-2839;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Results in Physics;Elsevier; ;RINP;2211-3797;2211-3797;1;32;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Resuscitation;Elsevier; ;RESUS;0300-9572;1873-1570;0;8;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Reumatología Clínica;Elsevier; ;REUMA;1699-258X;1885-1398;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Reumatología Clínica (English Edition);Elsevier; ;REUMAE;2173-5743;2173-5743;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Review of Development Finance;Elsevier; ;RDF;1879-9337;1879-9337;0;7;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Review of Economic Dynamics;Elsevier; ;YREDY;1094-2025;;0;2;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Review of Palaeobotany and Palynology;Elsevier; ;PALBO;0034-6667;;0;2;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Reviews in Physics;Elsevier; ;REVIP;2405-4283;2405-4283;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Andaluza de Medicina del Deporte;Elsevier; ;RAMD;1888-7546;;14;18;31;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Argentina de Endocrinología y Metabolismo;Elsevier; ;RAEM;0326-4610;;0;4;15;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Argentina de Microbiología;Elsevier; ;RAM;0325-7541;;5;32;89;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Argentina de Radiología;Elsevier; ;RARD;0048-7619;1852-9992;5;39;55;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Brasileira de Ciências do Esporte;Elsevier; ;RBCE;0101-3289;2179-3255;0;22;24;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Brasileira de Entomologia;Elsevier; ;RBE;0085-5626;1806-9665;0;7;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Brasileira de Farmacognosia;Elsevier; ;BJP;0102-695X;;1;9;37;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Brasileira de Hematologia e Hemoterapia;Elsevier; ;HTCT;1516-8484;1806-0870;2;1;28;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Brasileira de Ortopedia;Elsevier; ;RBO;0102-3616;1982-4378;0;0;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Brasileira de Ortopedia (English Edition);Elsevier; ;RBOE;2255-4971;2255-4971;0;4;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Brasileira de Psiquiatria;Elsevier; ;RBP;1516-4446;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Brasileira de Reumatologia;Elsevier; ;RBR;0482-5004;1809-4570;0;3;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Brasileira de Reumatologia (English Edition);Elsevier; ;RBRE;2255-5021;2255-5021;0;6;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Chilena de Cirugía;Elsevier; ;RCHIC;0379-3893;0718-4026;6;16;28;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Chilena de Ortopedia y Traumatología;Elsevier; ;RCHOT;0716-4548;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Chilena de Pediatría;Elsevier; ;;0370-4106;0717-6228;3;18;54;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Chilena de Radiología;Elsevier; ;RCHIRA;0717-201X;0717-9308;0;6;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Clínica de Periodoncia, Implantología y Rehabilitación Oral;Elsevier; ;;0718-5391;;4;58;142;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Clínica Española;Elsevier; ;RCE;0014-2565;1578-1860;0;0;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Clínica Española (English Edition);Elsevier; ;RCENG;2254-8874;2254-8874;0;3;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Colombiana de Anestesiología;Elsevier; ;RCA;0120-3347;;3;30;68;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Colombiana de Cardiología;Elsevier; ;RCCAR;0120-5633;;9;42;89;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Colombiana de Psiquiatría;Elsevier; ;RCP;0034-7450;;4;11;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista Colombiana de Psiquiatría (English ed.);Elsevier; ;RCPENG;2530-3120;;2;3;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista da Associação Médica Brasileira;Elsevier; ;RAMB;0104-4230;;0;3;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista da Associação Médica Brasileira (English Edition);Elsevier; ;RAMBE;2255-4823;2255-4823;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista de Administração;Elsevier; ;RAUSPM;0080-2107;;0;10;10;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista de Contabilidad;Elsevier; ;RCSAR;1138-4891;1988-4672;7;42;57;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista de Gastroenterología de México;Elsevier; ;RGMX;0375-0906;;2;27;74;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista de Gastroenterología de México (English Edition);Elsevier; ;RGMXEN;2255-534X;;0;2;10;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista de la Educación Superior;Elsevier; ;RESU;0185-2760;2395-9037;17;88;102;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista de Logopedia, Foniatría y Audiología;Elsevier; ;RLFA;0214-4603;1578-1712;0;3;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista de Psicodidáctica;Elsevier; ;PSICOD;1136-1034;2254-4372;1;14;19;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista de Psicodidáctica (English ed.);Elsevier; ;PSICOE;2530-3805;2530-3805;1;11;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista de Psicología del Trabajo y de las Organizaciones;Elsevier; ;RPTO;1576-5962;2174-0534;0;18;21;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista de Psiquiatría y Salud Mental (English Edition);Elsevier; ;RPSMEN;2173-5050;2173-5050;2;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista de Senología y Patología Mamaria;Elsevier; ;SENOL;0214-1582;1578-1399;0;4;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista del Laboratorio Clínico;Elsevier; ;LABCLI;1888-4008;1989-0389;0;2;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Revista del Pie y Tobillo;Elsevier; ;RPTOB;1697-2198;2173-2949;2;1;16;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
